ground_truth_id,order_id,expected_scenario,expected_outcome,expected_resolution_class,expected_root_cause,expected_human_escalation,expected_ai_investigation,expected_confidence_band,expected_financial_impact,linked_payment_ids,linked_settlement_ids,notes
GT-000020,ORD-000020,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000020","SET-000020","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000021,ORD-000021,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000021","SET-000021","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000022,ORD-000022,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000022","SET-000022","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000023,ORD-000023,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000023","SET-000023","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000024,ORD-000024,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000024","SET-000024","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000025,ORD-000025,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000025","SET-000025","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000026,ORD-000026,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000026","SET-000026","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000027,ORD-000027,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000027","SET-000027","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000028,ORD-000028,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000028","SET-000028","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000029,ORD-000029,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000029","SET-000029","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000030,ORD-000030,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000030","SET-000030","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000031,ORD-000031,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000031","SET-000031","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000032,ORD-000032,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000032","SET-000032","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000033,ORD-000033,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000033","SET-000033","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000034,ORD-000034,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000034","SET-000034","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000035,ORD-000035,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000035","SET-000035","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000036,ORD-000036,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000036","SET-000036","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000037,ORD-000037,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000037","SET-000037","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000038,ORD-000038,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000038","SET-000038","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000039,ORD-000039,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000039","SET-000039","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000040,ORD-000040,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000040","SET-000040","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000041,ORD-000041,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000041","SET-000041","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000042,ORD-000042,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000042","SET-000042","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000043,ORD-000043,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000043","SET-000043","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000044,ORD-000044,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000044","SET-000044","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000045,ORD-000045,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000045","SET-000045","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000046,ORD-000046,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000046","SET-000046","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000047,ORD-000047,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000047","SET-000047","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000048,ORD-000048,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000048","SET-000048","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000049,ORD-000049,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000049","SET-000049","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000050,ORD-000050,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000050","SET-000050","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000051,ORD-000051,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000051","SET-000051","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000052,ORD-000052,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000052","SET-000052","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000053,ORD-000053,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000053","SET-000053","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000054,ORD-000054,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000054","SET-000054","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000055,ORD-000055,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000055","SET-000055","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000056,ORD-000056,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000056","SET-000056","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000057,ORD-000057,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000057","SET-000057","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000058,ORD-000058,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000058","SET-000058","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000059,ORD-000059,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000059","SET-000059","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000060,ORD-000060,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000060","SET-000060","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000061,ORD-000061,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000061","SET-000061","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000062,ORD-000062,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000062","SET-000062","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000063,ORD-000063,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000063","SET-000063","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000064,ORD-000064,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000064","SET-000064","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000065,ORD-000065,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000065","SET-000065","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000066,ORD-000066,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000066","SET-000066","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000067,ORD-000067,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000067","SET-000067","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000068,ORD-000068,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000068","SET-000068","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000069,ORD-000069,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000069","SET-000069","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000070,ORD-000070,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000070","SET-000070","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000071,ORD-000071,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000071","SET-000071","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000072,ORD-000072,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000072","SET-000072","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000073,ORD-000073,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000073","SET-000073","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000074,ORD-000074,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000074","SET-000074","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000075,ORD-000075,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000075","SET-000075","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000076,ORD-000076,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000076","SET-000076","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000077,ORD-000077,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000077","SET-000077","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000078,ORD-000078,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000078","SET-000078","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000079,ORD-000079,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000079","SET-000079","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000080,ORD-000080,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000080","SET-000080","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000081,ORD-000081,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000081","SET-000081","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000082,ORD-000082,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000082","SET-000082","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000083,ORD-000083,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000083","SET-000083","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000084,ORD-000084,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000084","SET-000084","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000085,ORD-000085,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000085","SET-000085","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000086,ORD-000086,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000086","SET-000086","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000087,ORD-000087,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000087","SET-000087","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000088,ORD-000088,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000088","SET-000088","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000089,ORD-000089,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000089","SET-000089","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000090,ORD-000090,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000090","SET-000090","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000091,ORD-000091,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000091","SET-000091","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000092,ORD-000092,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000092","SET-000092","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000093,ORD-000093,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000093","SET-000093","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000094,ORD-000094,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000094","SET-000094","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000095,ORD-000095,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000095","SET-000095","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000096,ORD-000096,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000096","SET-000096","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000097,ORD-000097,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000097","SET-000097","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000098,ORD-000098,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000098","SET-000098","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000099,ORD-000099,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000099","SET-000099","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000100,ORD-000100,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000100","SET-000100","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000101,ORD-000101,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000101","SET-000101","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000102,ORD-000102,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000102","SET-000102","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000103,ORD-000103,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000103","SET-000103","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000104,ORD-000104,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000104","SET-000104","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000105,ORD-000105,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000105","SET-000105","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000106,ORD-000106,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000106","SET-000106","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000107,ORD-000107,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000107","SET-000107","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000108,ORD-000108,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000108","SET-000108","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000109,ORD-000109,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000109","SET-000109","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
GT-000110,ORD-000110,EXACT_MATCH,MATCHED,AUTO_RESOLVED,EXACT_1TO1_MATCH_VERIFIED,False,False,HIGH,0.00,"PAY-000110","SET-000110","Standard exact 1:1 match across order, payment, settlement, and invoice within T+1 SLA."
